idx,Year,Month,Day,Hour,Lat,Lon,Wind,Pressure,Type,Count,Name
1805,1870,7,30,1800,30.5,-88.0,70,-999,HU,1,UNNAMED
1806,1870,8,30,0,21.7,-59.5,50,-999,TS,2,UNNAMED
1807,1870,8,30,600,22.4,-60.3,50,-999,TS,2,UNNAMED
1808,1870,8,30,1200,23.0,-61.0,50,-999,TS,2,UNNAMED
1809,1870,8,30,1800,23.7,-61.8,50,-999,TS,2,UNNAMED
1810,1870,8,31,0,24.4,-62.6,60,-999,TS,2,UNNAMED
1811,1870,8,31,600,25.2,-63.3,60,-999,TS,2,UNNAMED
1812,1870,8,31,1200,25.9,-64.1,70,-999,HU,2,UNNAMED
1813,1870,8,31,1800,26.8,-65.1,70,-999,HU,2,UNNAMED
1814,1870,9,1,0,27.7,-66.1,80,-999,HU,2,UNNAMED
1815,1870,9,1,600,28.6,-67.1,80,-999,HU,2,UNNAMED
1816,1870,9,1,1200,29.3,-68.0,80,-999,HU,2,UNNAMED
1817,1870,9,1,1800,30.1,-68.6,80,-999,HU,2,UNNAMED
1818,1870,9,2,0,31.1,-69.5,90,-999,HU,2,UNNAMED
1819,1870,9,2,600,32.0,-70.1,90,-999,HU,2,UNNAMED
1820,1870,9,2,1200,33.0,-71.0,90,-999,HU,2,UNNAMED
1821,1870,9,2,1800,34.0,-71.5,90,-999,HU,2,UNNAMED
1822,1870,9,3,0,35.4,-71.6,90,-999,HU,2,UNNAMED
1823,1870,9,3,600,37.0,-71.3,90,-999,HU,2,UNNAMED
1824,1870,9,3,1200,38.7,-70.8,80,-999,HU,2,UNNAMED
1825,1870,9,3,1800,40.5,-68.8,80,-999,HU,2,UNNAMED
1826,1870,9,4,0,42.5,-66.3,80,-999,HU,2,UNNAMED
1827,1870,9,4,600,44.0,-63.3,80,-999,HU,2,UNNAMED
1828,1870,9,4,1200,45.4,-59.6,70,-999,HU,2,UNNAMED
1829,1870,9,4,1800,46.3,-55.5,70,-999,HU,2,UNNAMED
1830,1870,9,1,0,16.0,-27.6,50,-999,TS,3,UNNAMED
1831,1870,9,1,600,16.2,-29.0,50,-999,TS,3,UNNAMED
