idx,Year,Month,Day,Hour,Lat,Lon,Wind,Pressure,Type,Count,Name
17,1851,8,16,600,13.7,-49.5,40,-999,0,4,0
18,1851,8,16,1200,14,-51,50,-999,0,4,0
19,1851,8,16,1800,14.4,-52.8,50,-999,0,4,0
20,1851,8,17,0,14.9,-54.6,60,-999,0,4,0
21,1851,8,17,600,15.4,-56.5,60,-999,0,4,0
22,1851,8,17,1200,15.9,-58.5,70,-999,0,4,0
23,1851,8,17,1800,16.1,-60.4,70,-999,0,4,0
24,1851,8,18,0,16.6,-62.5,80,-999,0,4,0
25,1851,8,18,600,16.9,-64.09999999999999,80,-999,0,4,0
26,1851,8,18,1200,17.2,-66,90,-999,0,4,0
27,1851,8,18,1800,17.6,-67.59999999999999,90,-999,0,4,0
28,1851,8,19,0,18,-69.3,90,-999,0,4,0
29,1851,8,19,600,18.4,-71.09999999999999,70,-999,0,4,0
30,1851,8,19,1200,18.9,-72.59999999999999,60,-999,0,4,0
31,1851,8,19,1800,19.4,-74.3,60,-999,0,4,0
32,1851,8,20,0,19.9,-75.90000000000001,70,-999,0,4,0
33,1851,8,20,600,20.5,-77.59999999999999,70,-999,0,4,0
34,1851,8,20,1200,21.2,-79,70,-999,0,4,0
35,1851,8,20,1800,21.9,-80.40000000000001,70,-999,0,4,0
36,1851,8,21,0,22.6,-81.40000000000001,60,-999,0,4,0
37,1851,8,21,600,23.2,-82.5,60,-999,0,4,0
38,1851,8,21,1200,23.9,-83.59999999999999,70,-999,0,4,0
39,1851,8,21,1800,24.4,-84.3,70,-999,0,4,0
40,1851,8,22,0,25,-84.90000000000001,80,-999,0,4,0
41,1851,8,22,600,25.6,-85.5,80,-999,0,4,0
42,1851,8,22,1200,26.2,-86,90,-999,0,4,0
43,1851,8,22,1800,26.8,-86.3,90,-999,0,4,0
44,1851,8,23,0,27.4,-86.5,100,-999,0,4,0
45,1851,8,23,600,28,-86.59999999999999,100,-999,0,4,0
46,1851,8,23,1200,28.5,-86.59999999999999,100,-999,0,4,0
47,1851,8,23,1800,29.6,-86.09999999999999,100,-999,0,4,0
48,1851,8,23,2100,30.1,-85.7,100,-999,0,4,0
49,1851,8,24,0,30.7,-85.09999999999999,90,-999,0,4,0
50,1851,8,24,600,31.6,-84.09999999999999,70,-999,0,4,0
51,1851,8,24,1200,32.5,-83,60,-999,0,4,0
52,1851,8,24,1800,33.4,-81.40000000000001,50,-999,0,4,0
53,1851,8,25,0,34,-80,40,-999,0,4,0
54,1851,8,25,600,34.8,-78.59999999999999,40,-999,0,4,0
55,1851,8,25,1200,35.8,-77,40,-999,0,4,0
56,1851,8,25,1800,36.8,-75.09999999999999,40,-999,0,4,0
57,1851,8,26,0,37.8,-73.59999999999999,40,-999,0,4,0
58,1851,8,26,600,38.9,-71.8,40,-999,0,4,0
59,1851,8,26,1200,40,-70,40,-999,0,4,0
60,1851,8,26,1800,41.3,-66.8,40,-999,0,4,0
61,1851,8,27,0,42.8,-63.3,40,-999,0,4,0
62,1851,8,27,600,44.5,-60.2,40,-999,0,4,0
63,1851,8,27,1200,46.4,-57.2,40,-999,0,4,0
64,1851,8,27,1800,48.5,-54.2,40,-999,0,4,0
99,1852,8,19,600,20.7,-68,60,-999,0,1,0
100,1852,8,19,1200,20.9,-68.8,60,-999,0,1,0
101,1852,8,19,1800,21.1,-69.59999999999999,60,-999,0,1,0
102,1852,8,20,0,21.2,-70.59999999999999,70,-999,0,1,0
103,1852,8,20,600,21.5,-71.90000000000001,70,-999,0,1,0
104,1852,8,20,1200,21.7,-73,70,-999,0,1,0
105,1852,8,20,1800,21.9,-74,70,-999,0,1,0
106,1852,8,21,0,22.1,-74.90000000000001,80,-999,0,1,0
107,1852,8,21,600,22.2,-76.09999999999999,80,-999,0,1,0
108,1852,8,21,1200,22.6,-77.09999999999999,80,-999,0,1,0
109,1852,8,21,1800,22.9,-78.09999999999999,80,-999,0,1,0
110,1852,8,22,0,23.2,-79.3,90,-999,0,1,0
111,1852,8,22,600,23.5,-80.09999999999999,90,-999,0,1,0
112,1852,8,22,1200,23.8,-81.09999999999999,90,-999,0,1,0
113,1852,8,22,1800,24.2,-82.09999999999999,90,-999,0,1,0
114,1852,8,23,0,24.7,-83.09999999999999,90,-999,0,1,0
115,1852,8,23,600,25.2,-83.90000000000001,90,-999,0,1,0
116,1852,8,23,1200,25.7,-84.59999999999999,90,-999,0,1,0
117,1852,8,23,1800,26.2,-85.3,90,-999,0,1,0
118,1852,8,24,0,26.7,-86,100,-999,0,1,0
119,1852,8,24,600,27.2,-86.59999999999999,100,-999,0,1,0
120,1852,8,24,1200,27.7,-87.09999999999999,100,-999,0,1,0
